date,time,location,State,Country_orig,Country,country_trim,country_code,operator,operator_code,flight_no,route,ac_type,registration,cn_ln,aboard,aboard_count,fatalities,fatal_count,ground,summary
9-Oct-36,?,?,,,?,?,1001,North Sea Aerial and General Transport,20190,?,?,Blackburn B-2,G-ABWI,?,1   (passengers:0  crew:1),1 ,1   (passengers:0  crew:1),1 ,0,?
14-Feb-42,?,?,,,?,?,1001,China National Aviation Corporation,9330,?,?,Douglas DC-2,45,?,?   (passengers:?  crew:?),? ,?   (passengers:?  crew:?),? ,?,?
21-Aug-42,?,?,,,?,?,1001,Deutsche Lufthansa,10550,?,?,Siebel Si-204,?,?,4   (passengers:2  crew:2),4 ,4   (passengers:2  crew:2),4 ,0,"Lufthansa chairman, Von Gablenz killed."
27-Nov-47,?,?,,,?,?,1001,China National Aviation Corporation,9330,?,?,Douglas DC-3,?,?,3   (passengers:0  crew:3),3 ,2   (passengers:0  crew:2),2 ,0,The cargo plane was shot down by communist anti -aircraft fire.
20-Jan-77,?,?,,,?,?,1001,North Canada Air,20080,?,?,Bristol 170 Freighter 31M,C-FWAD,13253,2   (passengers:0  crew:2),2 ,1   (passengers:0  crew:1),1 ,0,The cargo plane stalled nearly vertical and crashed. Shifting cargo.
15-Aug-91,?,?,,,?,?,1001,Transports Aériens de la Guinee-Bissau,27140,?,Kano - Bamako,Fokker F-27 Friendship 100,J5-GBB,10119,3   (passengers:0  crew:3),3 ,3   (passengers:0  crew:3),3 ,0,On a positioning flight the plane struck trees and broke up while attempting to land.
14-Aug-58,c 03:45,North Atlantic Ocean, 100 miles W of Galway Bay, Ireland,100 miles W of Galway Bay,100 miles W of Galway Bay,1000,KLM Royal Dutch Airlines,14910,607E,Amsterdam - Shannon - Gander - New York,Lockheed 1049H Super Constellation,PH-LKM,4841,99   (passengers:91  crew:8),99 ,99   (passengers:91  crew:8),99 ,0,"The aircraft crashed into the sea while en route from Shannon to Gander, Newfoundland. Possible overspeeding of outer propeller."
23-Jun-85,7:15,Atlantic Ocean, 110 miles West of Ireland,,110 miles West of Ireland,110 miles West of Ireland,1010,Air India,3180,182,Montreal - London,Boeing B-747-237B,VT-EFO,21473/330,329   (passengers:307  crew:22),329 ,329   (passengers:307  crew:22),329 ,0,"The aircraft broke up in flight and crashed into the ocean. Detonation of an explosive device in the forward cargo hold. Terrorist working in Vancouver, Canada, checked baggage with bombs onto two flights. One bag transferred at Toronto onto flight 182. The other would have been transferred at Tokyo onto another Air India flight, but exploded at the airport killing 2 baggage handlers. The aircraft was named "" Emperor Kanishka."""
1-Aug-48,?,1,200 miles off Dakar, Atlantic Ocean,200 miles off Dakar,200 miles off Dakar,1020,Air France,3070,?,Fort de France - Port Etienne,Latecoere 631 (flying boat),F-BDRC,6,52   (passengers:40  crew:12),52 ,52   (passengers:40  crew:12),52 ,0,"Disappeared in the Atlantic on a flight from Fort. de France, Martinique to Port Etienne, Mauritania. The United States Coast Guard cutter Campbell reported finding debris on August 4 with no survivors."
12-Jul-53,c 08:41,Pacific Ocean, 325 miles east of Wake Island,,325 miles east of Wake Island,325 miles east of Wake Island,1030,Transocean Air Lines,26930,512,Wake Island - Honolulu - Oakland,Douglas DC-6A,N90806,42901/153,58   (passengers:50  crew:8),58 ,58   (passengers:50  crew:8),58 ,0,"Lost at sea while en route from Wake Island to Honolulu, Hawaii, approximately 325 miles east of Wake Island. Cause not determined, but there was thunderstorms and turbulence in the area. Fourteen bodies and all life rafts were recovered. The plywood panel from the navigator's table was recovered with the words ""falling in"" written on it. There is some speculation that a bomb caused the accident. The aircraft was named ""The Royal Hawaiian."""
1-Jun-09,0:15,Atlantic Ocean, 570 miles northeast of Natal, Brazil,570 miles northeast of Natal,570 miles northeast of Natal,1040,Air France,3070,447,Rio de Janeiro - Paris,Airbus A330-203,F-GZCP,660,228   (passengers:216  crew:12),228 ,228   (passengers:216  crew:12),228 ,0,"The Airbus went missing over the Atlantic Ocean on a flight from Rio de Janeiro to Paris, France. The plane departed from Rio de Janeiro-Galeao International Airport at 19:03 LT bound for Charles de Gaulle Airport in Paris. The last radio contact with the flight was at 01:33 UTC.  The aircraft left CINDACTA III radar coverage at 01:48 UTC, flying normally at FL350. The aircraft reportedly went through a thunderstorm with strong turbulence at 02:00 UTC. At 02:14 UTC an automated message was received indicating a failure of the electrical system. The plane carried 12 crew members and 216 passengers. The wreckage was finally discovered on April 3, 2011 using unmanned submarines.  Flight447 passed into clouds associated with a large system of thunderstorms, its speed sensors became iced over, and the autopilot disengaged. In the ensuing confusion, the pilots lost control of the airplane because they reacted incorrectly to the loss of instrumentation and then seemed unable to comprehend the nature of the problems they had caused. Neither weather nor malfunction doomed flight, nor a complex chain of error, but a simple but persistent mistake on the part of one of the pilots. 
  The crew did not realize the plane was in a stall, were insufficiently trained in flying manually, and never informed the passengers that anything was wrong before they plunged into the sea. The captain was on a rest break when the warnings began. The two co-pilots were facing faulty speed readings from unreliable sensors and repeated alarm signals, but fail to explain why the pilots responded the way they did. It's unclear why the co-pilot at the controls maintained a nose-up input - contrary to the normal procedure to come out of an aerodynamic stall. Normally, the nose should be pointed slightly downward to regain lift in such a stall, often caused because the plane is traveling too slowly. A basic maneuver for stall recovery, which pilots are taught at the outset of their flight training, is to push the yoke forward and apply full throttle to lower the nose of the plane and build up speed. The report confirms that external speed sensors obstructed by ice crystals produced irregular speed readings on the plane. Since the accident, Air France has replaced the speed monitors on all its Airbus A330 and A340 aircraft. The BEA said neither of the co-pilots at the controls had received recent training for manual aircraft handling, or had any high-altitude schooling in case of unreliable air speed readings. A stall warning sounded numerous times, and once for a full 54 seconds, but the crew made no reference to it in cockpit exchanges before the jet crashed."
14-Oct-47,1004,Ocean, 800 miles east of Newfoundland,,800 miles east of Newfoundland,800 miles east of Newfoundland,1050,American International Airways,5950,?,"Foynes, Ireland - Botwood, Newfoundland - New York",Boeing 314A,NC18612,2086,69   (passengers:62  crew:7),69 ,0   (passengers:0  crew:0),0 ,0,"The plane was 5,000 pounds over its certified weight and had to land at sea when it ran out of fuel in severe headwinds.  Over the next following 25 hours all occupants were rescued by the US Coast Guard ship Bibb using rafts and small boats and the plane was then sunk as a hazard to shipping."
8-Nov-63,17:59,Mariehamn, Aaland Island, Finland,Aaland Island,Aaland Island,1060,Finnair,11750,217,Turku - Mariehamn,Douglas DC-3,OH-LCA,9799,24   (passengers:21  crew:3),24 ,22   (passengers:19  crew:3),22 ,0,The aircraft flew below the safe flying altitude and hit trees on the approach line in fog. Wrong indication of the pilot's altimeter during the instrument approach. Landing carried out in below minimum conditions.
4-Sep-63,6:22,Durrenasch, Aargau, Switzerland,Aargau,Aargau,1070,Swissair,25490,306,Zurich - Geneva,Sud-Aviation Caravelle III,HG-ICV,147,80   (passengers:74  crew:6),80 ,80   (passengers:74  crew:6),80 ,0,"Prior to departure from Zurich Airport, the pilot,, without authorization, taxied half way down the runway in order to clear fog. The aircraft then went back to the beginning of the runway and took off only to crash 10 minutes later, 18 miles WSW of Zurich. Braking done during the fog clearing procedure overheated the brakes which led to the wheel flange splitting and a burst tire which damaged a hydraulic line which caused a fire to start which ultimately led to the loss of control of the aircraft. Forty-three people, one fifth the population of the small town of Humilikon died in the accident."
